event,scenario,main_character,emotion1,emotion2,emotion3,emotion4,answer,context_type
"After several frustrating nights, Quinn decided to put water in the mechanical machine, and it finally worked after not being usable for six months.","After several frustrating nights, Quinn decided to put water in the mechanical machine late at night before an important presentation the next morning, and it finally worked after not being usable for six months.",Quinn,Determination,Comfortableness,Relief,Pride,Relief,time
"After several frustrating nights, Quinn decided to put water in the mechanical machine, and it finally worked after not being usable for six months.","After several frustrating nights, Quinn decided to put water in the mechanical machine early in the morning before a casual weekend with friends, and it finally worked after not being usable for six months.",Quinn,Determination,Comfortableness,Relief,Pride,Relief,time
Jesse faced every kind of evil person. There are pure evil people in this world.,"In a dark alley late at night, Jesse faced every kind of evil person. There are pure evil people in this world.",Jesse,Disgust,Fear,Disapproval,Intimidation,Fear,place
Jesse faced every kind of evil person. There are pure evil people in this world.,"During a community meeting, Jesse faced every kind of evil person. There are pure evil people in this world.",Jesse,Disgust,Fear,Disapproval,Intimidation,Disgust,place
Sasha worked really hard that day and slept all night.,"Sasha worked really hard that day and slept all night in a cozy cabin in the woods, surrounded by the sounds of nature and the warmth of a crackling fire.",Sasha,Frustration,Serenity,Exhaustion,Reverence,Serenity,place
Sasha worked really hard that day and slept all night.,Sasha worked really hard that day and slept all night in a cramped apartment with loud neighbors and city traffic keeping her awake intermittently.,Sasha,Frustration,Serenity,Exhaustion,Reverence,Exhaustion,place
Skylar read the paper out loud and all the children listened to the story.,"Skylar read the paper out loud and all the children listened to the story, with a well-loved teacher nodding approvingly from the back of the room.",Skylar,Anxiety,Helplessness,Comfortableness,Pride,Pride,agent
Skylar read the paper out loud and all the children listened to the story.,"Skylar read the paper out loud and all the children listened to the story, with a strict principal watching closely and taking notes.",Skylar,Anxiety,Helplessness,Comfortableness,Pride,Anxiety,agent
Carson got along with bailey very well because they had a lot in common and wanted to be friends.,"Carson got along with Bailey very well because they had a lot in common and wanted to be friends. Bailey was supportive and always made time for Carson, deepening their bond.",Carson,Displeasure,Frustration,Joy,Reverence,Joy,agent
Carson got along with bailey very well because they had a lot in common and wanted to be friends.,"Carson got along with Bailey very well because they had a lot in common and wanted to be friends. However, Bailey often canceled plans and seemed uninterested, causing tension.",Carson,Displeasure,Frustration,Joy,Reverence,Frustration,agent
Bailey loved their parents dearly and got them some cruise tickets for a great vacation.,"Bailey loved their parents dearly and got them some cruise tickets for a great vacation, with their parents expressing immense gratitude and excitement for the trip.",Bailey,Discouragement,Anxiety,Joy,Guilt,Joy,agent
Bailey loved their parents dearly and got them some cruise tickets for a great vacation.,"Bailey loved their parents dearly and got them some cruise tickets for a great vacation, but their parents seemed indifferent and unenthusiastic about the gift.",Bailey,Discouragement,Anxiety,Joy,Guilt,Discouragement,agent
Addison set sail for Jordan's island on her brand new sailboat.,"Addison set sail for Jordan's island on her brand new sailboat, accompanied by her closest friends who shared her excitement and joy for the adventure.",Addison,Impatience,Frustration,Joy,Surprise,Joy,agent
Addison set sail for Jordan's island on her brand new sailboat.,"Addison set sail for Jordan's island on her brand new sailboat, while dealing with an inexperienced crew who caused repeated problems and delays.",Addison,Impatience,Frustration,Joy,Surprise,Frustration,agent
Casey is out to eat with family. Casey orders fried okra.,"Casey is out to eat with family. Casey orders fried okra, and her mother, who loves trying new foods, praises her choice enthusiastically.",Casey,Joy,Indifference,Awe,Embarrassment,Joy,agent
Casey is out to eat with family. Casey orders fried okra.,"Casey is out to eat with family. Casey orders fried okra, and her picky younger sibling makes a face, loudly complaining about the smell.",Casey,Joy,Indifference,Awe,Embarrassment,Embarrassment,agent
Jan was looking for Addison but couldn't find her so she went to Addison's friend's house.,"Jan was looking for Addison after school but couldn't find her, so she went to Addison's friend's house to see if she was there.",Jan,Anxiety,Lonesomeness,Concern,Vigilance,Concern,time
Jan was looking for Addison but couldn't find her so she went to Addison's friend's house.,"Jan was looking for Addison late in the evening but couldn't find her, so she went to Addison's friend's house hoping for answers.",Jan,Anxiety,Lonesomeness,Concern,Vigilance,Concern,time
Ash had no car.  Carson agreed to take Ash to school.,Ash had no car and was waiting at the bus stop when Carson agreed to take Ash to school.,Ash,Gratitude,Embarrassment,Relief,Sympathy,Gratitude,place
Ash had no car.  Carson agreed to take Ash to school.,Ash had no car and was standing in the rain when Carson agreed to take Ash to school.,Ash,Gratitude,Embarrassment,Relief,Sympathy,Gratitude,place
Taylor woke up the next day and regretted going to the party.,"Taylor woke up the next day and regretted going to the party, where he had a heated argument with a close friend, leading to a falling out.",Taylor,Oppression,Anxiety,Sadness,Anger,Sadness,agent
Taylor woke up the next day and regretted going to the party.,"Taylor woke up the next day and regretted going to the party, after feeling left out and isolated while everyone else seemed to be having fun without him.",Taylor,Oppression,Anxiety,Sadness,Anger,Sadness,agent
Tracy was the commander of Lee army.,"Tracy was the commander of Lee army. It was her first day in the position, facing the enormous responsibility of leading thousands of troops.",Tracy,Relief,Amazement,Vigilance,Pride,Vigilance,time
Tracy was the commander of Lee army.,Tracy was the commander of Lee army. It was the day of her retirement ceremony after a long and distinguished military career.,Tracy,Relief,Amazement,Vigilance,Pride,Pride,time
Quinn reduced their weight by a large factor after going through the exercise program.,Quinn reduced their weight by a large factor after going through the exercise program for six months.,Quinn,Determination,Pride,Gratitude,Concern,Pride,time
Quinn reduced their weight by a large factor after going through the exercise program.,Quinn reduced their weight by a large factor after going through the exercise program for only a day.,Quinn,Determination,Pride,Gratitude,Concern,Pride,time
Alex threw confetti up in the air and pretty paper bits floated down and got in everyone's hair.,Alex threw confetti up in the air and pretty paper bits floated down and got in everyone's hair during a surprise birthday party for a close friend.,Alex,Annoyance,Joy,Surprise,Amazement,Joy,time
Alex threw confetti up in the air and pretty paper bits floated down and got in everyone's hair.,Alex threw confetti up in the air and pretty paper bits floated down and got in everyone's hair at a corporate event celebrating a successful project completion.,Alex,Annoyance,Joy,Surprise,Amazement,Joy,time
Lee let the dog out to go to the bathroom in the backyard.,"As soon as he got home from work, Lee let the dog out to go to the bathroom in the backyard.",Lee,Guilt,Joy,Indifference,Relief,Relief,time
Lee let the dog out to go to the bathroom in the backyard.,"After getting back from a three-week vacation, Lee let the dog out to go to the bathroom in the backyard.",Lee,Guilt,Joy,Indifference,Relief,Relief,time
Jan disagreed with her mother's direction to stay home and they locked horns over it.,Jan disagreed with her mother's direction to stay home on the night of prom and they locked horns over it.,Jan,Discouragement,Annoyance,Anger,Sadness,Annoyance,time
Jan disagreed with her mother's direction to stay home and they locked horns over it.,"Jan disagreed with her mother's direction to stay home on a wintery, stormy evening and they locked horns over it.",Jan,Discouragement,Annoyance,Anger,Sadness,Annoyance,time
Jesse loved Aubrey's family. They always treated them kindly.,"Jesse loved Aubrey's family. They always treated them kindly, even during Jesse's first holiday dinner with them after just a month of dating Aubrey.",Jesse,Relief,Sanguinity,Gratitude,Amazement,Gratitude,time
Jesse loved Aubrey's family. They always treated them kindly.,"Jesse loved Aubrey's family. They always treated them kindly, even ten years after Jesse and Aubrey's painful breakup.",Jesse,Relief,Sanguinity,Gratitude,Amazement,Gratitude,time
Aubrey asked the waitress where she got her blouse because it was pretty.,"After staring at the waitress for twenty minutes, Aubrey asked the waitress where she got her blouse because it was pretty.",waitress,Gratitude,Annoyance,Fear,Pride,Gratitude,time
Aubrey asked the waitress where she got her blouse because it was pretty.,"After looking at the waitress for a moment, Aubrey asked the waitress where she got her blouse because it was pretty.",waitress,Gratitude,Annoyance,Fear,Pride,Gratitude,time
Taylor bore a striking resemblance to Kendall and was cast in the role.,"Taylor bore a striking resemblance to Kendall and was cast in the role during an open audition at a bustling Los Angeles casting studio, where hundreds of hopefuls lined up for hours to try out for the part.",Taylor,Admiration,Favor,Surprise,Anticipation,Surprise,place
Taylor bore a striking resemblance to Kendall and was cast in the role.,"Taylor bore a striking resemblance to Kendall and was cast in the role while attending a small, intimate industry party where the director happened to notice their uncanny likeness to the star.",Taylor,Admiration,Favor,Surprise,Anticipation,Surprise,place
Addison held Tracy in their arms while Tracy said their last words before dying.,Addison held her daughter Tracy in their arms while Tracy said their last words before dying.,Addison,Rage,Acceptance,Reverence,Grief,Grief,agent
Addison held Tracy in their arms while Tracy said their last words before dying.,Addison held her great great grandmother Tracy in their arms while Tracy said their last words before dying.,Addison,Rage,Acceptance,Reverence,Grief,Grief,agent
Carson had been looking for their things for ages. Cameron found them and gave Carson their things back.,Carson had been looking for their things for decades. Cameron found them and gave Carson their things back.,Carson,Embarrassment,Relief,Joy,Awe,Relief,time
Carson had been looking for their things for ages. Cameron found them and gave Carson their things back.,Carson had been looking for their things for a few minutes. Cameron found them and gave Carson their things back.,Carson,Embarrassment,Relief,Joy,Awe,Relief,time
Jan gave her husband Kai some money to get groceries.,Jan gave her husband Kai some money to get groceries. Jan was the breadwinner in the family.,Kai,Joy,Gratitude,Annoyance,Comfortableness,Gratitude,agent
Jan gave her husband Kai some money to get groceries.,Jan gave her husband Kai some money to get groceries. Jan was a stay-at-home wife.,Kai,Joy,Gratitude,Annoyance,Comfortableness,Gratitude,agent
Addison was trying to see if Tracy was sick. Addison took Tracy's temperature.,Addison was trying to see if Tracy was sick. Addison took Tracy's temperature in a crowded emergency room filled with patients showing symptoms of a highly contagious virus.,Addison,Concern,Comfortableness,Interest,Anxiety,Concern,place
Addison was trying to see if Tracy was sick. Addison took Tracy's temperature.,"Addison was trying to see if Tracy was sick. Addison took Tracy's temperature in their home kitchen, with a well-stocked medicine cabinet nearby.",Addison,Concern,Comfortableness,Interest,Anxiety,Concern,place
Austin built Quinn's house last week as a surprise for Quinn's 50th birthday party.,"Austin built Quinn's house last week as a surprise for Quinn's 50th birthday party, unveiling it during a grand celebration with friends and family gathered around, complete with party lights, fabric bunting, and a custom house-shaped cake.",Austin,Pride,Concern,Surprise,Determination,Pride,place
Austin built Quinn's house last week as a surprise for Quinn's 50th birthday party.,"Austin built Quinn's house last week as a surprise for Quinn's 50th birthday party, revealing it in an abandoned, overgrown lot surrounded by dilapidated buildings, with only a few close friends present to witness the moment.",Austin,Pride,Concern,Surprise,Determination,Pride,place
"Aubrey needed help getting ready to go on a trip, so Alex packed Aubrey's car.","Aubrey needed help getting ready to go on a trip, so her secret crush Alex packed Aubrey's car.",Aubrey,Awe,Relief,Joy,Gratitude,Gratitude,agent
"Aubrey needed help getting ready to go on a trip, so Alex packed Aubrey's car.","Aubrey needed help getting ready to go on a trip, so her dad Alex packed Aubrey's car.",Aubrey,Awe,Relief,Joy,Gratitude,Gratitude,agent
Bailey was the center of attention because he was the funniest person in the room.,"After tripping on his shoelaces, Bailey was the center of attention because he was the funniest person in the room.",Bailey,Joy,Embarrassment,Confusion,Distraction,Embarrassment,time
Bailey was the center of attention because he was the funniest person in the room.,"After cracking some jokes, Bailey was the center of attention because he was the funniest person in the room.",Bailey,Joy,Embarrassment,Confusion,Distraction,Joy,time
Skylar had a few options ahead of her but she chose to play the offensive move and get to them before the go to her.,"Skylar had a few options ahead of her but with mere seconds to spare, she chose to play the offensive move and get to them before the got to her.",Skylar,Comfortableness,Anxiety,Determination,Vigilance,Determination,time
Skylar had a few options ahead of her but she chose to play the offensive move and get to them before the go to her.,"Skylar had a few options ahead of her but with ample time to spare, she chose to play the offensive move and get to them before they go to her.",Skylar,Comfortableness,Anxiety,Determination,Vigilance,Determination,time
Jordan ran in circles while shouting and waving their arms.,"While playing in his backyard, Jordan ran in circles while shouting and waving their arms.",Jordan,Helplessness,Joy,Fear,Frustration,Joy,place
Jordan ran in circles while shouting and waving their arms.,"While in a dark alleyway, Jordan ran in circles while shouting and waving their arms.",Jordan,Helplessness,Joy,Fear,Frustration,Fear,place
Ash held job interviews cause he needed an accountant at his company. He offered the job to the best candidate.,Ash held job interviews cause he needed an accountant at his company. He offered the job to the best candidate after only two interviews.,Ash,Surprise,Pride,Favor,Relief,Relief,time
Ash held job interviews cause he needed an accountant at his company. He offered the job to the best candidate.,Ash held job interviews cause he needed an accountant at his company. He offered the job to the best candidate after thirty rounds of interviews.,Ash,Surprise,Pride,Favor,Relief,Relief,time
Sasha studied a lot to have good grades and to improve themselves.,"Over the course of many years, Sasha studied a lot to have good grades and to improve themselves.",Sasha,Pride,Annoyance,Discouragement,Comfortableness,Pride,time
Sasha studied a lot to have good grades and to improve themselves.,"After being yelled at my her mom, the next day Sasha studied a lot to have good grades and to improve themselves.",Sasha,Pride,Annoyance,Discouragement,Comfortableness,Discouragement,time
Addison did every task with determination and put effort into everything they did.,Addison did every task with determination and put effort into everything they did during the final week before a crucial job performance review.,Addison,Passion,Determination,Amazement,Vigilance,Determination,time
Addison did every task with determination and put effort into everything they did.,Addison did every task with determination and put effort into everything they did on the first day of their dream job at a prestigious company.,Addison,Passion,Determination,Amazement,Vigilance,Determination,time
Addison observed Ash closely while Ash worked to learn what Ash was doing.,Addison observed Ash closely while Ash worked to learn what Ash was doing in a high-security laboratory with experimental technology.,Addison,Fear,Vigilance,Interest,Pensiveness,Interest,place
Addison observed Ash closely while Ash worked to learn what Ash was doing.,Addison observed Ash closely while Ash worked to learn what Ash was doing in a bustling open-plan office during a typical workday.,Addison,Fear,Vigilance,Interest,Pensiveness,Interest,place
Aubrey loved nature. They went hiking in the woods.,"Aubrey loved nature. They went hiking in the woods. The trail was in a remote, pristine national park known for its rare wildlife and breathtaking vistas.",Aubrey,Amazement,Pensiveness,Admiration,Annoyance,Amazement,place
Aubrey loved nature. They went hiking in the woods.,Aubrey loved nature. They went hiking in the woods. The trail was in a small urban park with litter scattered around and the constant noise of nearby traffic.,Aubrey,Amazement,Pensiveness,Admiration,Annoyance,Annoyance,place
Carson excluded every person because he wanted to be alone.,Carson excluded every person because he wanted to be alone in the bathroom.,Carson,Comfortableness,Unfriendliness,Relief,Anxiety,Relief,place
Carson excluded every person because he wanted to be alone.,Carson excluded every person because he wanted to be alone at the party.,Carson,Comfortableness,Unfriendliness,Relief,Anxiety,Relief,place
Cameron lost his job and asked Ash if he knew of any openings.,"Cameron lost his job and asked Ash, a long-time friend and mentor, if he knew of any openings.",Cameron,Pensiveness,Optimism,Anxiety,Sadness,Anxiety,agent
Cameron lost his job and asked Ash if he knew of any openings.,"Cameron lost his job and asked Ash, a recent acquaintance, if he knew of any openings.",Cameron,Pensiveness,Optimism,Anxiety,Sadness,Anxiety,agent
"Cameron and Jan were at a movie, and Cameron whispered something in Jan's ear.","Cameron and Jan were at a movie, and Cameron, who is Jan's close friend, whispered something in Jan's ear.",Cameron,Comfortableness,Concern,Interest,Anxiety,Interest,agent
"Cameron and Jan were at a movie, and Cameron whispered something in Jan's ear.","Cameron and Jan were at a movie, and Cameron, who is Jan's new colleague, whispered something in Jan's ear.",Cameron,Comfortableness,Concern,Interest,Anxiety,Interest,agent
Jordan told Tracy to get a job because Tracy has not helped with bills for the past few months.,"Jordan, who has been financially supporting Tracy for several months, told Tracy to get a job because Tracy has not helped with bills for the past few months.",Jordan,Annoyance,Frustration,Discouragement,Displeasure,Frustration,agent
Jordan told Tracy to get a job because Tracy has not helped with bills for the past few months.,"Jordan, who has recently started a new, well-paying job, told Tracy to get a job because Tracy has not helped with bills for the past few months.",Jordan,Annoyance,Frustration,Discouragement,Displeasure,Frustration,agent
Kendall struck it rich at her job and got a lot of attention with her new idea.,Kendall struck it rich at her job and got a lot of attention from criminals with her new idea.,Kendall,Intimidation,Aggressiveness,Fear,Joy,Fear,agent
Kendall struck it rich at her job and got a lot of attention with her new idea.,Kendall struck it rich at her job and got a lot of attention from venture capitalists with her new idea.,Kendall,Intimidation,Aggressiveness,Fear,Joy,Joy,agent
"After catching a glimpse of them in the hallway, Carson told Cameron's sister they were pretty.","After catching a glimpse of them at her wedding, Carson told Cameron's sister they were pretty.",Cameron's sister,Amazement,Joy,Anger,Surprise,Surprise,place
"After catching a glimpse of them in the hallway, Carson told Cameron's sister they were pretty.","After catching a glimpse of them in the shower, Carson told Cameron's sister they were pretty.",Cameron's sister,Amazement,Joy,Anger,Surprise,Surprise,place
Riley enhanced students' lives. He took them on field trips very often.,Riley enhanced students lives. He took them on field trips to museums in nearby cities.,Riley,Concern,Comfortableness,Anxiety,Love,Love,place
Riley enhanced students' lives. He took them on field trips very often.,"Riley enhanced students lives. He took them on field trips to remote, unfamiliar wilderness areas.",Riley,Concern,Comfortableness,Anxiety,Love,Love,place
"Austin who was a great dancer and teacher began their school with ten students. When they had a class helpfully, Austin shuffled Casey's feet, to learn a new dance.","Austin, who was a great dancer and teacher, began their school with ten students. When they had a class in a spacious, well-lit studio with large mirrors, Austin shuffled Casey's feet to learn a new dance.",Austin,Admiration,Concern,Determination,Anticipation,Determination,place
"Austin who was a great dancer and teacher began their school with ten students. When they had a class helpfully, Austin shuffled Casey's feet, to learn a new dance.","Austin, who was a great dancer and teacher, began their school with ten students. When they had a class in a small, cramped room with minimal lighting, Austin shuffled Casey's feet to learn a new dance.",Austin,Admiration,Concern,Determination,Anticipation,Determination,place
"Robin was laughing so hard they peed their pants, so Robin changed them.","Robin was laughing so hard they peed their pants, so Robin changed them in the middle of a crowded movie theater.",Robin,Relief,Embarrassment,Indifference,Comfortableness,Embarrassment,place
"Robin was laughing so hard they peed their pants, so Robin changed them.","Robin was laughing so hard they peed their pants, so robin changed them in the privacy of their own home.",Robin,Relief,Embarrassment,Indifference,Comfortableness,Embarrassment,place
Robin had been studying for a test at school and Jordan decided to assist.,"Robin had been studying for a test at school and Jordan, who is an experienced tutor, decided to assist.",Robin,Exhaustion,Relief,Gratitude,Confusion,Gratitude,agent
Robin had been studying for a test at school and Jordan decided to assist.,"Robin had been studying for a test at school and Jordan, who is a fellow classmate, decided to assist.",Robin,Exhaustion,Relief,Gratitude,Confusion,Gratitude,agent
Tracy invited me to the party so I could make new friends at the school.,"Tracy invited me to the party so I could make new friends at the school, where I knew a few people who were already friendly and welcoming.",Me,Embarrassment,Exhaustion,Lonesomeness,Comfortableness,Comfortableness,agent
Tracy invited me to the party so I could make new friends at the school.,"Tracy invited me to the party so I could make new friends at the school, but the party was full of people I didn't know and who seemed uninterested in meeting new people.",Me,Embarrassment,Exhaustion,Lonesomeness,Comfortableness,Lonesomeness,agent
Carson found the missing doll.  They have been looking for it for hours.,Carson found the missing doll in a sewer. They have been looking for it for hours.,Carson,Relief,Embarrassment,Surprise,Disgust,Relief,place
Carson found the missing doll.  They have been looking for it for hours.,Carson found the missing doll in his backpack. They have been looking for it for hours.,Carson,Relief,Embarrassment,Surprise,Disgust,Relief,place
Alex bought Carson's phone from him but as soon as he got it home it stopped working.,Alex bought his best friend Carson's phone from him but as soon as he got it home it stopped working.,Alex,Sadness,Bad-temper,Confusion,Frustration,Frustration,agent
Alex bought Carson's phone from him but as soon as he got it home it stopped working.,Alex bought his coworker Carson's phone from him but as soon as he got it home it stopped working.,Alex,Sadness,Bad-temper,Confusion,Frustration,Frustration,agent
"After being called out for failing the test, Casey turned bright red.","After being called out for failing the test in front of the whole class, Casey turned bright red.",Casey,Shame,Embarrassment,Sadness,Annoyance,Embarrassment,place
"After being called out for failing the test, Casey turned bright red.","After being called out for failing the test in private, Casey turned bright red.",Casey,Shame,Embarrassment,Sadness,Annoyance,Embarrassment,place
Taylor asked the librarian for a book but got a rude response in return from her.,"Taylor asked the librarian, who was known for being kind and helpful, for a book but got a rude response in return from her.",Taylor,Annoyance,Surprise,Frustration,Confusion,Surprise,agent
Taylor asked the librarian for a book but got a rude response in return from her.,"Taylor asked the librarian, who was known for being strict and unapproachable, for a book but got a rude response in return from her.",Taylor,Annoyance,Surprise,Frustration,Confusion,Frustration,agent
Quinn works as a bartender in a busy establishment.,Quinn works as a bartender in a Michelin-starred establishment.,Quinn,Pride,Shame,Determination,Submission,Pride,place
Quinn works as a bartender in a busy establishment.,Quinn works as a bartender in an abandoned establishment.,Quinn,Pride,Shame,Determination,Submission,Determination,place
Jan and her husband were not getting along well. Jan filed for a divorce later that month.,"Jan and her husband were not getting along well. Jan filed for a divorce later that month, shortly after their anniversary.",Jan,Anger,Oppression,Anxiety,Sadness,Sadness,time
Jan and her husband were not getting along well. Jan filed for a divorce later that month.,"Jan and her husband were not getting along well. Jan filed for a divorce later that month, immediately after discovering a betrayal.",Jan,Anger,Oppression,Anxiety,Sadness,Anger,time
Cameron thanked the people for supporting him as they left the party.,The people leaving the party were close friends who had always stood by cameron through significant challenges in his life.,Cameron,Confusion,Indifference,Lonesomeness,Gratitude,Gratitude,agent
Cameron thanked the people for supporting him as they left the party.,"The people leaving the party were individuals cameron barely knew, who had only attended out of obligation and had minimal interaction with him.",Cameron,Confusion,Indifference,Lonesomeness,Gratitude,Lonesomeness,agent
Lee made Carson their wife at the wedding and had a great cake.,Lee made Carson their wife at the wedding and had a great cake at the reception.,Lee made Carson their wife at the wedding and had a great cake.,Comfortableness,Pride,Reverence,Joy,Joy,place
Lee made Carson their wife at the wedding and had a great cake.,Lee made Carson their wife at the wedding and had a great cake back home.,Lee made Carson their wife at the wedding and had a great cake.,Comfortableness,Pride,Reverence,Joy,Joy,place
Riley began another relationship with the person they were seeing when they were already dating someone else.,Riley began another relationship with the person they were seeing while their current partner was away on a business trip.,Riley,Guilt,Distraction,Confusion,Embarrassment,Guilt,agent
Riley began another relationship with the person they were seeing when they were already dating someone else.,Riley began another relationship with the person they were seeing just after a fight with their current partner.,Riley,Guilt,Distraction,Confusion,Embarrassment,Guilt,agent
Sydney gave Carson a new lease on life when she donated a kidney.,Sydney gave a stranger Carson a new lease on life when she donated a kidney.,Carson,Gratitude,Love,Reverence,Relief,Gratitude,agent
Sydney gave Carson a new lease on life when she donated a kidney.,Sydney gave her son Carson a new lease on life when she donated a kidney.,Carson,Gratitude,Love,Reverence,Relief,Gratitude,agent
There were a lot of people not even planning to the polls but Jordan persuaded many people to go out and vote.,There were a lot of people not even planning to the polls but Jordan persuaded many people to go out and vote on a hot summer afternoon.,Jordan,Gratitude,Guilt,Optimism,Determination,Determination,time
There were a lot of people not even planning to the polls but Jordan persuaded many people to go out and vote.,There were a lot of people not even planning to the polls but Jordan persuaded many people to go out and vote early in the morning.,Jordan,Gratitude,Guilt,Optimism,Determination,Determination,time
Quinn surprised the kids with a party because they had been really good.,Quinn surprised the kids with a party at home because they had been really good.,The kids,Surprise,Unfriendliness,Aggressiveness,Joy,Joy,place
Quinn surprised the kids with a party because they had been really good.,Quinn surprised the kids with a party at the big hotel because they had been really good.,The kids,Surprise,Unfriendliness,Aggressiveness,Joy,Joy,place
Casey decided to go base jumping but had never been skydiving before. He was told by a professional he would fail if he tried without the proper training or experience. He decided not to go base jumping as a result.,Casey decided to go base jumping but had never been skydiving before. He was told by a professional he would fail if he tried without the proper training or experience. He decided not to go base jumping as a result that day.,Casey,Fear,Interest,Discouragement,Vigilance,Fear,time
Casey decided to go base jumping but had never been skydiving before. He was told by a professional he would fail if he tried without the proper training or experience. He decided not to go base jumping as a result.,Casey decided to go base jumping but had never been skydiving before. He was told by a professional he would fail if he tried without the proper training or experience. He decided not to go base jumping as a result for a decade.,Casey,Fear,Interest,Discouragement,Vigilance,Fear,time
Remy threw their toys around even though their mother said not to.,Remy threw their toys around even though their mother said repeatedly not to.,mother,Anger,Helplessness,Discouragement,Annoyance,Annoyance,time
Remy threw their toys around even though their mother said not to.,Remy threw their toys around even though their mother told him one time not to throw their toys.,mother,Anger,Helplessness,Discouragement,Annoyance,Annoyance,time
Skylar was surprised to see the red flashing lights behind her. She pulled over and complied with Officer Kendall's request to see her driver's license and registration.,Skylar was surprised to see the red flashing lights behind her. She pulled over and complied with Officer Kendall's request to see her driver's license and registration late at night on an empty road.,Skylar,Embarrassment,Frustration,Intimidation,Anxiety,Anxiety,time
Skylar was surprised to see the red flashing lights behind her. She pulled over and complied with Officer Kendall's request to see her driver's license and registration.,Skylar was surprised to see the red flashing lights behind her. She pulled over and complied with Officer Kendall's request to see her driver's license and registration during rush hour in a busy city.,Skylar,Embarrassment,Frustration,Intimidation,Anxiety,Anxiety,time
Kai found several potential jobs on the Student Union bulletin board and took advantage of the opportunites to write down their info.,Kai found several potential jobs on the Student Union bulletin board and took advantage of the opportunites to write down their info for two hours.,Kai,Relief,Admiration,Exhaustion,Interest,Interest,time
Kai found several potential jobs on the Student Union bulletin board and took advantage of the opportunites to write down their info.,Kai found several potential jobs on the Student Union bulletin board and took advantage of the opportunites to write down their info for a few minutes.,Kai,Relief,Admiration,Exhaustion,Interest,Interest,time
"Kai was so good at basket ball, he was selected to play international.","Kai was so good at basketball, he was selected to play international just after recovering from a major injury.",Kai,Comfortableness,Pride,Anxiety,Joy,Pride,time
"Kai was so good at basket ball, he was selected to play international.","Kai was so good at basketball, he was selected to play international right before an important exam period.",Kai,Comfortableness,Pride,Anxiety,Joy,Pride,time
Sydney had a huge crush on Ash. Sydney made a special cake for him. Ash threw it in the trash.,Sydney had a huge crush on Ash. Sydney made a special cake for him on his birthday. Ash threw it in the trash,Ash,Contempt,Oppression,Embarrassment,Confusion,Contempt,time
Sydney had a huge crush on Ash. Sydney made a special cake for him. Ash threw it in the trash.,Sydney had a huge crush on Ash. Sydney made a special cake for him every day. Ash threw it in the trash,Ash,Contempt,Oppression,Embarrassment,Confusion,Contempt,time
Jesse is Robin's best friend. Jesse keeps Robin balanced.,"Jesse and Robin are sitting together in a quiet park, surrounded by nature.",Robin,Confusion,Frustration,Serenity,Reverence,Serenity,place
Jesse is Robin's best friend. Jesse keeps Robin balanced.,Jesse and Robin are at a crowded party with loud music and lots of people.,Robin,Confusion,Frustration,Serenity,Reverence,Frustration,place
"Casey gave Austin an indication of the ETA, but ended up being two hours later than that.","Casey gave Austin an indication of the ETA, but ended up being two hours later than that on the night of an important interview.",Austin,Anxiety,Disapproval,Pensiveness,Annoyance,Annoyance,time
"Casey gave Austin an indication of the ETA, but ended up being two hours later than that.","Casey gave Austin an indication of the ETA, but ended up being two hours later than that on a weekend outing.",Austin,Anxiety,Disapproval,Pensiveness,Annoyance,Annoyance,time
Carson is away on vacation and Kendall offered to care for his dog until he returns.,Carson is away on vacation and baby Kendall offered to care for his dog until he returns.,Carson,Gratitude,Trust,Surprise,Lonesomeness,Gratitude,agent
Carson is away on vacation and Kendall offered to care for his dog until he returns.,Carson is away on vacation and Cousin Kendall offered to care for his dog until he returns.,Carson,Gratitude,Trust,Surprise,Lonesomeness,Gratitude,agent
Aubrey didn't let many people know the real her. Remy knew Aubrey the best out of all the friends.,Aubrey didn't let many people know the real her. Remy knew Aubrey the best out of all the friends. They have been friends for a long time.,Remy,Anxiety,Sadness,Jealousy,Joy,Joy,time
Aubrey didn't let many people know the real her. Remy knew Aubrey the best out of all the friends.,Aubrey didn't let many people know the real her. Remy knew Aubrey the best out of all the friends before Aubrey became friend with another colleague.,Remy,Anxiety,Sadness,Jealousy,Joy,Jealousy,time
Ash needed money fast and decided that committing a crime was their only choice left.,Ash needed money fast and decided that committing a crime was their only choice left while at the bank.,Ash,Vigilance,Sadness,Anxiety,Frustration,Anxiety,place
Ash needed money fast and decided that committing a crime was their only choice left.,Ash needed money fast and decided that committing a crime was their only choice left at the hospital.,Ash,Vigilance,Sadness,Anxiety,Frustration,Anxiety,place
Bailey played baseball with a friend for the last time today.,Bailey played baseball with a friend who is moving away tomorrow.,Bailey,Sadness,Determination,Anxiety,Pride,Sadness,agent
Bailey played baseball with a friend for the last time today.,Bailey played baseball with friend who is joining a professional league.,Bailey,Sadness,Determination,Anxiety,Pride,Pride,agent
Taylor was a bartender at the new bar.,Taylor was a bartender at the new bar. He had only a few minutes of practice.,Taylor,Admiration,Guilt,Anxiety,Anticipation,Anxiety,time
Taylor was a bartender at the new bar.,Taylor was a bartender at the new bar. He had over five years of experience.,Taylor,Admiration,Guilt,Anxiety,Anticipation,Anticipation,time
